5 for each n,,,,,,,,,,,,,,
,Urinal 1,Urinal 2 ,Urinal 3 ,Urinal 4 ,Urinal 5,Urinal 6,Distance,Mar Distance,,,,,,
n = 1 :,0,0,0,0,1,0,-1,,,,,,,
,0,0,0,1,0,0,-1,,,,,,,
,0,0,0,0,0,1,-1,,,,,,,
,0,0,0,0,1,0,-1,,,,,,,
,0,0,1,0,0,0,-1,,,3,,1,,2
n = 2:,0,2,0,0,1,0,2,,,,,,,
,0,2,0,1,0,0,1,,,,,,,
,1,0,0,0,2,0,2,,,,,,,
,0,0,0,2,0,1,1,,,,,,,
,0,2,0,0,1,0,2,,,,,,,
n = 3:,3,0,2,0,1,0,1,,,,,,,
,1,0,0,2,0,3,4/3,,,,,,,
,3,0,2,0,1,0,1,,,,,,,
,,,,,,,,,,,,,,
n = 4:,0,1,0,2,4,3,1/2,,,,,,,
,4,3,0,2,0,1,1,,,,,,,
,4,0,1,0,2,3,3/4,,,,,,,
n = 5:,4,3,0,1,5,2,0,"1, 0.5, 0",,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
n=6,,,,,,,,,,,,,,
